"file","table"
"app\admin\(protected)\settings\page.tsx","app_settings"
"app\admin\(protected)\settings\SettingsClient.tsx","app_settings"
"components\Catalog.tsx","app_settings"
"lib\publicSettings.ts","app_settings"
"lib\settings.ts","app_settings"
"app\admin\(protected)\page.tsx","daily_profit_pipeline"
"app\admin\(protected)\page.tsx","daily_profit_pipeline"
"app\admin\(protected)\page.tsx","daily_profit_realized"
"app\admin\(protected)\page.tsx","daily_profit_realized"
"app\admin\(protected)\deliveries\DeliveryAdminClient.tsx","delivery_requests"
"app\admin\(protected)\deliveries\DeliveryAdminClient.tsx","delivery_requests"
"app\services\delivery\actions.ts","delivery_requests"
"app\services\delivery\actions.ts","delivery_requests"
"components\delivery\DeliveryRequestClient.tsx","delivery_requests"
"app\admin\(protected)\expenses\actions.ts","expenses"
"app\admin\(protected)\expenses\actions.ts","expenses"
"app\admin\(protected)\expenses\page.tsx","expenses"
"app\admin\(protected)\gcash\GCashAdminClient.tsx","gcash_requests"
"app\admin\(protected)\gcash\GCashAdminClient.tsx","gcash_requests"
"app\services\gcash\actions.ts","gcash_requests"
"components\gcash\GCashServiceClient.tsx","gcash_transactions"
"app\admin\(protected)\inventory-management\page.tsx","inventory_batch_lines_admin"
"app\admin\(protected)\expenses\page.tsx","inventory_batches"
"app\admin\(protected)\inventory-management\page.tsx","inventory_batches_admin"
"app\admin\(protected)\orders\page.tsx","order_items"
"components\Catalog.tsx","order_items"
"app\admin\(protected)\orders\OrdersClient.tsx","orders"
"app\admin\(protected)\orders\OrdersClient.tsx","orders"
"app\admin\(protected)\orders\OrdersClient.tsx","orders"
"app\admin\(protected)\orders\page.tsx","orders"
"app\admin\(protected)\page.tsx","orders"
"components\Catalog.tsx","orders"
"app\admin\(protected)\orders\OrdersClient.tsx","payments"
"app\admin\(protected)\orders\OrdersClient.tsx","payments"
"app\admin\(protected)\orders\page.tsx","payments"
"components\Catalog.tsx","payments"
"app\admin\(protected)\printing\PrintingAdminClient.tsx","printing_requests"
"app\admin\(protected)\printing\PrintingAdminClient.tsx","printing_requests"
"app\services\printing\actions.ts","printing_requests"
"app\admin\(protected)\inventory-management\receive\page.tsx","products"
"app\admin\(protected)\page.tsx","products"
"app\admin\(protected)\products\page.tsx","products"
"app\admin\(protected)\products\ProductForm.tsx","products"
"app\admin\(protected)\products\ProductForm.tsx","products"
"app\admin\(protected)\products\ProductForm.tsx","products"
"app\admin\(protected)\products\ProductsClient.tsx","products"
"app\admin\(protected)\products\ProductsClient.tsx","products"
"app\page.tsx","products"
"components\Catalog.tsx","products"
"components\store\Storefront.tsx","products"
"app\admin\(protected)\layout.tsx","profiles"
"app\services\delivery\actions.ts","profiles"
"app\admin\(protected)\settings\page.tsx","settings_meta"
"app\admin\(protected)\page.tsx","top_products_7d_realized"
